date,year,month,day,1364 ｉシェアーズ JPX日経400 ETF,1369 One ETF 日経225,1385 UBS ETF ユーロ圏大型株50(E･ストックス50),1386 UBS ETF 欧州株(MSCIヨーロッパ),1389 UBS ETF 英国大型株100(FTSE 100),1390 UBS ETF MSCIアジア太平洋株(除く日本),1391 UBS ETF スイス株(MSCIスイス20/35),1392 UBS ETF 英国株(MSCI英国),1393 UBS ETF 米国株(MSCI米国),1394 UBS ETF 先進国株(MSCIワールド),1458 楽天 ETF-日経レバレッジ指数連動型,1459 楽天 ETF-日経ダブルインバース指数連動型,1473 One ETF トピックス,1474 One ETF JPX日経400,1475 iシェアーズ・コア TOPIX ETF,1476 iシェアーズ・コア Ｊリート ETF,1477 iシェアーズ MSCI 日本株最小分散 ETF,1478 iシェアーズ MSCI ジャパン高配当利回り ETF,1482 iシェアーズ・コア 米国債7-10年ETF(H有),1483 iシェアーズ JPX/S&P 設備･人材投資ETF,1484 One ETF JPX/S&P 設備･人材投資指数,1489 (NEXT FUNDS)日経平均高配当株50指数連動型ETF,1493 One ETF JPX日経中小型,1494 One ETF 高配当日本株,1496 iシェアーズ 米ドル建て投資適格社債ETF(H有),1497 iシェアーズ 米ドル建ハイイールド社債ETF(H有),1498 One ETF ESG,1552 国際のETF VIX短期先物指数,1557 SPDR S&P500 ETF,1575 ChinaAMC CSI 300 Index ETF-JDR,1576 南方 FTSE 中国A株 50 ETF,1577 (NEXT FUNDS)野村日本株高配当70連動型ETF,1655 iシェアーズ S&P500 米国株 ETF,1656 iシェアーズ･コア　米国債7-10年 ETF,1657 iシェアーズ･コア MSCI 先進国株(除く日本)ETF,1658 iシェアーズ･コア MSCI 新興国株 ETF,1659 iシェアーズ 米国リート ETF,2516 東証マザーズETF,2522 iシェアーズ オートメーション&ロボット ETF,2555 東証REIT ETF,サイバーエージェント：前日比,サイバーエージェント：翌日比
2020-11-24,2020,11,24,350.0,630.0,90.0,-20.0,160.0,0.0,21.0,60.0,400.0,-310.0,720.0,-115.0,37.0,380.0,38.0,6.0,35.0,28.0,-7.0,-13.0,3.0,430.0,340.0,240.0,-2.0,10.0,280.0,-250.0,600.0,1.0,-5.0,320.0,44.0,8.0,40.0,51.0,37.0,26.0,66.0,13.0,110.0,-10.0
2020-11-20,2020,11,20,0.0,-70.0,-5.0,0.0,20.0,80.0,18.0,4.0,250.0,-620.0,-80.0,14.0,1.0,-20.0,0.0,3.0,-9.0,0.0,5.0,2.0,7.0,-100.0,120.0,-10.0,15.0,0.0,50.0,0.0,50.0,-1.0,11.0,-50.0,-2.0,4.0,-3.0,5.0,-4.0,-5.0,32.0,6.0,-20.0,110.0
2020-11-19,2020,11,19,70.0,-150.0,-25.0,-230.0,-30.0,-15.0,-25.0,-54.0,-600.0,-1060.0,-150.0,23.0,6.0,70.0,7.0,-5.0,16.0,-1.0,-2.0,-2.0,-14.0,70.0,-50.0,20.0,7.0,-3.0,-20.0,40.0,-400.0,40.0,-3.0,50.0,-27.0,-7.0,-14.0,-23.0,-36.0,0.0,-23.0,-8.0,350.0,-20.0
2020-11-18,2020,11,18,-130.0,-260.0,0.0,-60.0,-140.0,-65.0,-31.0,-29.0,-300.0,-150.0,-320.0,45.0,-14.0,-130.0,-17.0,-2.0,-10.0,-18.0,10.0,1.0,-3.0,-260.0,-170.0,-220.0,12.0,8.0,-150.0,-120.0,-250.0,27.0,-4.0,-190.0,-19.0,-2.0,-18.0,3.0,-12.0,8.0,-45.0,-4.0,-10.0,350.0
2020-11-17,2020,11,17,40.0,120.0,-30.0,30.0,60.0,50.0,16.0,20.0,200.0,0.0,100.0,-16.0,2.0,40.0,3.0,-3.0,6.0,16.0,-3.0,0.0,34.0,380.0,-100.0,120.0,5.0,4.0,60.0,120.0,-200.0,-1.0,3.0,130.0,-9.0,-3.0,-6.0,-1.0,11.0,-34.0,20.0,-10.0,-100.0,-10.0
2020-11-16,2020,11,16,380.0,540.0,45.0,350.0,190.0,85.0,0.0,21.0,100.0,700.0,610.0,-100.0,30.0,270.0,29.0,-6.0,27.0,41.0,-3.0,0.0,-23.0,510.0,300.0,390.0,-1.0,9.0,240.0,-620.0,750.0,13.0,-8.0,490.0,54.0,-14.0,41.0,29.0,58.0,-10.0,60.0,-6.0,-80.0,-100.0
2020-11-13,2020,11,13,-260.0,-150.0,-110.0,-200.0,-370.0,-35.0,9.0,-26.0,0.0,-190.0,-180.0,24.0,-24.0,-200.0,-24.0,-18.0,-25.0,-30.0,9.0,24.0,-4.0,-440.0,-160.0,-270.0,14.0,-12.0,-110.0,300.0,-300.0,-9.0,23.0,-350.0,-21.0,6.0,-16.0,2.0,-28.0,19.0,-11.0,-10.0,70.0,-80.0
2020-11-12,2020,11,12,-20.0,160.0,85.0,200.0,440.0,45.0,-33.0,105.0,350.0,-510.0,200.0,-27.0,-3.0,-50.0,0.0,-9.0,-4.0,-13.0,11.0,9.0,24.0,-210.0,-130.0,-250.0,6.0,-1.0,-50.0,-20.0,100.0,-7.0,22.0,-170.0,1.0,11.0,2.0,-1.0,-8.0,10.0,30.0,-9.0,40.0,70.0
2020-11-11,2020,11,11,240.0,430.0,105.0,240.0,60.0,10.0,24.0,68.0,50.0,-30.0,490.0,-90.0,27.0,260.0,26.0,3.0,24.0,35.0,-10.0,36.0,18.0,530.0,200.0,310.0,-15.0,-2.0,240.0,-270.0,350.0,7.0,-2.0,300.0,25.0,-7.0,30.0,0.0,61.0,25.0,-18.0,7.0,130.0,40.0
2020-11-10,2020,11,10,120.0,60.0,145.0,120.0,370.0,115.0,28.0,71.0,200.0,0.0,50.0,-9.0,18.0,190.0,19.0,14.0,24.0,57.0,-20.0,25.0,25.0,940.0,0.0,400.0,-16.0,3.0,200.0,260.0,100.0,-15.0,4.0,710.0,8.0,18.0,15.0,4.0,72.0,-66.0,-61.0,6.0,-550.0,130.0
